IssueA,IssueB,value,Description
Forests,WaterQuality,0.475,The effect of Forest Health on Water Quality: Forests drastically improve the water quality in adjacent streams by providing filtration and restricting the movement of sediment into streams.       The effect of Water Quality on Forest Health: Situations of incredibly poor water quality in a stream could impact forest management BMPs (Best Management Practices) so as to prevent water quality issues.
GreenInfrastructure,HabitatLoss,0.25,"The effect of Green Infrastructure on Habitat Loss: GI directly provides habitat for certain species, but on a small scale. GI also improves aquatic habitat by limiting the pollutants that enter waterways.        The effect of Habitat Loss on Green Infrastructurestst: Without some form of nearby habitat, GI projects may be less successful because there might be a dearth of pollinators or beneficial species, in addition to faster and more stormwater that can be more burdensome for the GI structure."
GreenInfrastructure,Health,0.575,"The effect of Green Infrastructure on Human Health: GI has been shown to improve mental health by allowing people to access nature. GI also can improve community building and social or emotional health. GI also improves water quality in a watershed, improving human health and recreational opportunities.       The effect of Human Health on Green Infrastructurestst: People who are healthy and have their needs met (i.e. Maslow's hierarchy of needs) are more likely to be able to think about improving their home environment by installing GI."
GreenInfrastructure,Invasives,0.375,"The effect of Green Infrastructure on Invasive Species: Other than the removal of invasive plant species on the structure of the GI, the installation and maintenance of GI has little to do with the spread of invasive speices.       The effect of Invasive Species on Green Infrastructurestst: Invasive plant species can make their way into GI projects, although GI is maintained regularly to minimize the risk of invasives."
GreenInfrastructure,LandUse,0.475,"The effect of Green Infrastructure on Land Use: GI can sometimes be a part of land use planning, or can even be necessitated in certain cases. Due to the cost of GI, engineering land uses may become more difficult or more costly.       The effect of Land Use on Green Infrastructurestst: Impervious surfaces resulting from land use development is often times what makes installing GI especially important to control stormwater. The density or type of land use may create opportunity for, or restrict, GI projects."
GreenInfrastructure,Nutrients,0.3875,"The effect of Green Infrastructure on Nutrient Management: The ability of a GI to filter out nutrients depends largely on the type of GI (e.g. green roof, rain garden, filter strip), and its location relative to high nutrient inputs. Largely, GI is able to uptake nutrients into plant biomass.        The effect of Nutrient Management on Green Infrastructurestst: Nutrients indeed have the ability to impact GI projects, mostly in a positive way. Nutrients help GI projects to grow and flourish, but in excess they can dampen the effectiveness of the GI."
GreenInfrastructure,PestsandPathogens,0.1875,"The effect of Green Infrastructure on Pests and Pathogensogens: GI can filter out pathogens that are in stormwater. Rain gardens and green roofs improve biodiversity and resilience in urban ecosystems, improving their ability to fend off pests and pathogens.       The effect of Pests and Pathogensogens on Green Infrastructurestst: Pests and pathogens alter plant selection for GI projects, where susceptible plants are avoided."
GreenInfrastructure,Recreation,0.7125,The effect of Green Infrastructure on Recreation and Green Space: GI can sometimes be considered a green space and provide  opportunities for people to enjoy nature.       The effect of Recreation and Green Space on Green Infrastructurestst: Green space use by people may impact Green infrastructure if It becomes misused or damaged.
GreenInfrastructure,Restoration,0.375,"The effect of Green Infrastructure on Restoration: As an engineered system that often occurs at a small scale, GI can positively promote and influence restoration projects by acting as a ""regional greenway"" that benefits and encourages restoration activities and the restored systems themselves.       The effect of Restoration on Green Infrastructurestst: Restoration and Green Infrastructure initiatives can be mutually beneficial if they are co-located. Restoration projects that include invasive species removals can help lower invasive species pressures on nearby GI."
GreenInfrastructure,RisingTemps,0.4375,"The effect of Green Infrastructure on Rising Temperatures: Green Infrastructures limit  urban heat island effects posed by rising temperatures, but have little effect on the globabl phenomenenon of temperature rise due to their small scale.        The effect of Rising Temperatures on Green Infrastructurestst: Rising temperatures create challenges for GI projects as they dictate which plants can be planted and indirectly impact weather patterns that invariably impact the GI structure."
GreenInfrastructure,SoilErosion,0.8,"The effect of Green Infrastructure on Soil Erosion: Well-designed GI projects effectively slow down and intercept stormwater, reducing the speed that stormwater travels at on land. Slower and less stormwater that runs over a land means less erosion. This effect is limited to areas adjacent or downhill of the GI project.       The effect of Soil Erosion on Green Infrastructurestst: Soil erosion can clog GI projects if too much enters the structure. This ultimately reduces the effectiveness of the GI."
GreenInfrastructure,StormWater,0.75,"The effect of Green Infrastructure on Stormwater Management: Although some types of GI have more of an impact on stormwater than do others, a primary purpose for installing GI is to limit stormwater.        The effect of Stormwater Management on Green Infrastructurestst: Stormwater issues are the main reason why GI is installed. Stormwater can carry sediment and pollutants in the GI structures, creating maintenance requirements for the GI. "
GreenInfrastructure,Transportation,0.675,"The effect of Green Infrastructure on Transportation: Green infrastructure has somewhat of an effect on transportation design, as it often occurs along roads or highways. GI can reduce or improve the walkability, bikability, or drivability of a particular street depending on its design and application.       The effect of Transportation on Green Infrastructurestst: Pervious pavements can be used as both a transportation infrastructure and a green infrastructure. Often times, transportation routes can create opportunities for adjacent GI projects."
GreenInfrastructure,TreeManagement,0.4125,"The effect of Green Infrastructure on Tree Management: Some managers of GI projects consider maintaining an urban tree canopy to be a type of green infrastructure. Therefore, GI projects can result in an improved urban tree canopy. However, some GI projects, such as rain gardens, require street tree removal.       The effect of Tree Management on Green Infrastructurestst: In some instances, trees can be used as a green infrastructure. The urban tree canopy intercepts and slows down stormwater."
GreenInfrastructure,VulnerableCom,0.5625,"The effect of Green Infrastructure on Vulnerable Communities: Green Infrastructure alleviates flooding and water quality issues in vulnerable communities to a degree. This depends on the extent of the GI project (size) in vulnerable areas, which often times is minimal to none. In cases where GI does exist in vulnerable communities, it can also serve as a place of healing as a connection to nature.       The effect of Vulnerable Communities on Green Infrastructurestst: Green infrastructure is difficult to implement in vulnerable communities because they are low income neighborhoods that are less concerned with installing environmentally-beneficial structures than they are with meeting their paychecks."
GreenInfrastructure,WarmSeason,0.4,"The effect of Green Infrastructure on Warm Season: Due to its small scale, GI has little effect on the global phenomenon of the changing warm season climate, although it does have some mitigative microclimate effects on cooling and water retention.       The effect of Warm Season on Green Infrastructurestst: The changing warm season climate and precipitation patterns can spark an increased reliance on GI as an adaptation option. Changes to seasonality can impact the functionality of existing GI designs, potentially by affecting the native plants used for the GI."
GreenInfrastructure,WaterQuality,0.5375,"The effect of Green Infrastructure on Water Quality: Green Infrastructure, depending on its size, is generally very beneficial for water quality in adjacent streams because the infrastructure filters out pollutants and slows down stormwater before it enters streams.       The effect of Water Quality on Green Infrastructureststst: Water that enters GI infrastructure while carrying pollutants can impact the GI media by clogging the structure, reducing the effectiveness of the GI."
HabitatLoss,Health,0.45,"The effect of Habitat Loss on Human Health: Lost habitat means less access to nature for humans, which can lead to worsened mental health in addition to less opportunities for phyiscal recreation activities like hiking. Lost habitat also generally means worse air quality which can damage the human body.        The effect of Human Health on Habitat Loss: There is an increasing recognition that access to nature improves human health. Therefore, human health initiatives have the ability to promote healthy habitat."
HabitatLoss,Invasives,1,"The effect of Habitat Loss on Invasive Species: Degraded habitat can often times promote invasive species to spread, especially invasive plants. Lost habitat, including open tree canopies, generally promote invasive plant growth in the understory.       The effect of Invasive Species on Habitat Loss: Invasive species, especially invasive plants and pests, directly contribute to the loss of biodiversity and habitat, including a decline in habitat quality. The fruit that comes from invasive plants, for example, offers lower nutritional value for organisms than would native flowering plants."
HabitatLoss,LandUse,0.65,"The effect of Habitat Loss on Land Use: Habitat for endangered or listed species will prevent certain types of land uses if they are thought to negatively impact the species. The loss of habitat on a parcel of land may impact the value of the land in one direction or the other, which alters land use possibilities.       The effect of Land Use on Habitat Loss: Land use directly contributes to habitat loss as development infringes upon undeveloped habitat areas. "
HabitatLoss,Nutrients,0.525,"The effect of Habitat Loss on Nutrient Management: As habitat is lost to development and impervious surfaces, a watershed can be said to be ""lost"" as it becomes more flasky. This flashiness as a result of lost habitat leads to faster and more stormwater runoff, which means that more nutrients are carried into streams.       The effect of Nutrient Management on Habitat Loss: Because nutrients are an essential part of the growth dynamics of streams or forests, they have much to do with habitat health. Nutrients are especially harmful for aquatic habitat due to toxicity (e.g. HABs). "
HabitatLoss,PestsandPathogens,0.6,"The effect of Habitat Loss on Pests and Pathogensogens: A smaller genetic pool of various plant species due to habitat loss and infrigement generally means that the remaining organisms are more susceptible to pest and pathogen outbreaks.        The effect of Pests and Pathogensogens on Habitat Loss: Invasive pests and pathogens cause habitat loss as forest health is degraded and trees are killed. The loss of a tree canopy worsens the habitat quality for native species like insects, amphibians, and other plants."
HabitatLoss,Recreation,0.95,The effect of Habitat Loss on Recreation and Green Space: The loss of habitat directly limits the potential recreation opportunities that people have in green space areas.        The effect of Recreation and Green Space on Habitat Loss: Green space areas provide habitat for many species. Access and visitation of green spaces can increase advocacy for habitat improvements. 
HabitatLoss,Restoration,0.8,"The effect of Habitat Loss on Restoration: The loss of habitat or degradation of habitats can be a major driver for restoring a natural system. The degree to which a habitat has been ""lost"" can affect its ability to be restored.       The effect of Restoration on Habitat Loss: Restoration of natural systems directly reduces habitat loss by creating desirable habitat out of nothing."
HabitatLoss,RisingTemps,0.3375,"The effect of Habitat Loss on Rising Temperatures: As habitats are lost, there is less absorption of CO2 (loss of a carbon sink) and less beneficial microclimate cooling effects from shading.        The effect of Rising Temperatures on Habitat Loss: Rising temperatures can change species ranges and degrade habitat slowly over time. Rising temperatures heighten pest and pathogen pressures, which have the potential to degrade or destroy habitat."
HabitatLoss,SoilErosion,0.825,"The effect of Habitat Loss on Soil Erosion: The loss of habitat leads directly to soil erosion as there is less forest cover or vegetation that prevents erosion. Certainly, the infringement upon habitat (the human activities themselves) can be known to cause erosion, including for example the tillage of prairies.       The effect of Soil Erosion on Habitat Loss: Soil erosion leads to habitat loss as vegetation becomes less likely. Sedimentation in rivers cvan harm aqutic habitat, including areas where fish are more likely to spawn."
HabitatLoss,StormWater,0.775,"The effect of Habitat Loss on Stormwater Management: Lost habitat leads to flashier stormwater events, as there is less habitat cover to mitigate and absorb stormwater.       The effect of Stormwater Management on Habitat Loss: Stormwater that causes flooding or that erodes banks can be especially harmful to aquatic and riparian habitat."
HabitatLoss,Transportation,0.575,"The effect of Habitat Loss on Transportation: Transportation infrastructure, in some cases, might not be built in certain areas where there are efforts to curb habitat loss.        The effect of Transportation on Habitat Loss: Transportation infrasturcture chops up habitat, causing fragmentation. This has dramatic effects on wildlife biodiversity."
HabitatLoss,TreeManagement,0.675,"The effect of Habitat Loss on Tree Management: When habitat is lost, there may be more of an effort to plant trees in urban areas to compensate. It is especially important to add urban forestry infrastructure to parcels of land where habitat has been lost.        The effect of Tree Management on Habitat Loss: Urban forests create habitat opportunities for many species, including mammals and insects."
HabitatLoss,VulnerableCom,0.45,The effect of Habitat Loss on Vulnerable Communities: Vulnerable populations are disproportionately impacted by lost habitat in that they are especially threatened by the loss of provisioning ecosystem services that are destroyed when habitat is lost. The degree to which this occurs depends on how much a vulnerable population relies upon natural systems for their livelihoods or sustenance.       The effect of Vulnerable Communities on Habitat Loss: Vulnerable rural populations who rely on forest resources for their livelihoods have the potential to destroy habitat in the process.
HabitatLoss,WarmSeason,0.5375,"The effect of Habitat Loss on Warm Season: The conversion of habitat to infrastructure generally means that there is a smaller carbon sink and a larger carbon source, which contributes to the changing warm season.       The effect of Warm Season on Habitat Loss: The warm season climate changes cause phenological mismatches and changing patterns. Changing clamtic conditions changes the ways in which habitats function. Increased pest, pathogen, and invasive pressures due to a shifting climate leads to the loss of suitable habitat for native species. "
HabitatLoss,WaterQuality,0.7875,"The effect of Habitat Loss on Water Quality: A reduction in habitat equates to less vegetation that is useful to slow down water and pollutants that would enter waterways. Water quality also includes the physical quality of the water (e.g. temperature). The loss of habitat adjacent to streams means there is less shading from trees, leading to warmer waterways.       The effect of Water Quality on Habitat Loss: Water quality has a direct impact on aquatic habitat quality. There is less of an effect of water quality for terrestrial species."
Health,Invasives,0.225,"The effect of Human Health on Invasive Species: To a small degree, individuals in poor health are probably less likely to go out and remove invasives.       The effect of Invasive Species on Human Health: Indirectly, as invasive species degrade and destroy habitat, so too are the provisioning services once provided by the habitat."
Health,LandUse,0.55,"The effect of Human Health on Land Use: Ailments to human health collectively changes the lifestyles of individuals, which may have indirect impacts on land use decision-making.       The effect of Land Use on Human Health: Anything done to the land and put into a landspace will invariable affect the livelihoods of the people who live there, including the air they breathe and the water they drink. "
Health,Nutrients,0.4,"The effect of Human Health on Nutrient Management: To promote human health, people may choose to eat foods that have higher or lower nutrient footprints.       The effect of Nutrient Management on Human Health: Nutrients in foods are important for human nutrition and health. Nutrients in excess in waterways can harm drinking water quality. "
Health,PestsandPathogens,0.5,"The effect of Human Health on Pests and Pathogensogens: Pest and pathogen management is something that is emphasized when it affects human health. Therefore, poor human health leads to pest and pathogen management and control.       The effect of Pests and Pathogensogens on Human Health: There are direct and indirect impacts that pests and pathogens have on human health. Of course, pathogens that are human-transmitted have major impacts on human health. Tics that carry Lyme Disease are increasingly threatining to human health. Tree loss and ecosystem degradation due to pests and pathogens threatens physical health (poorer air quality) and mental health (worsened access to nature)."
Health,Recreation,0.7875,"The effect of Human Health on Recreation and Green Space: Depending on how healthy people are, there may be some differences in perception, usage, and design of green spaces.       The effect of Recreation and Green Space on Human Health: Green space access greatly improves physical and mental health for people who use it. It also can improve community building when people come together to green spaces. "
Health,Restoration,0.4875,"The effect of Human Health on Restoration: To a degree, people in poor health are less likely to worry about restoring natural systems.       The effect of Restoration on Human Health: Because restoration improves ecosystem services (e.g. air and water quality), human health is improved with a healthier environment."
Health,RisingTemps,0.375,"The effect of Human Health on Rising Temperatures: To a small degree, individuals in poor or good health may have different carbon footprints, affecting rising temperatures.       The effect of Rising Temperatures on Human Health: Heat stress caused by rising temperatures, including urban heat island impacts, are highly impactful on human health. Heat stroke and illnesses, premature labor and delivery, infant and elderly health are all caused or worsened during heat stress. Furthermore, pathogens and pests that thrive in rising temperature conditions pose a threat to human health via the spread of disease."
Health,SoilErosion,0.35,"The effect of Human Health on Soil Erosion: Degrading human health may spur improper soil management strategies that cause erosion.       The effect of Soil Erosion on Human Health: Soil erosion can threaten food supply, which ultimately impact human nutrition. Eroded soils carry nutrients into water bodies, causing harmful algal blooms that can be toxic to humans."
Health,StormWater,0.45,The effect of Human Health on Stormwater Management: Human health issues stemming from water quality may be a reason to alleviate stormwater issues.       The effect of Stormwater Management on Human Health: Stormwater runoff across the land leads to poor water quality and drinking water problems. Flooding impacts can be acutely devastating for human health and well-being.
Health,Transportation,0.625,"The effect of Human Health on Transportation: Healthy and unhealthy individuals utilize transportation in different ways in terms of access, frequency, and type of transportation method.       The effect of Transportation on Human Health: Active transportation methods (walking, biking, running) are ways to improve health. Vehicular transportation causes emissions which contribute to worsened human health from air quality problems and climate impacts on health."
Health,TreeManagement,0.5,"The effect of Human Health on Tree Management: To an extent, citizens concerned about their health may be proponents of urban forests.       The effect of Tree Management on Human Health: Urban trees improve physical and mental health by cleaning the air, cooling an area, and offering green spaces for people to access."
Health,VulnerableCom,0.7,"The effect of Human Health on Vulnerable Communities: People who are healthy are better able to understand their own vulnerabilities and are primed to improve the situation for vulnerable populations.       The effect of Vulnerable Communities on Human Health: By being in a Vulnerable population, a person is disproportionately exposed to environmental hazards and is less likely to be able to access proper medical care in these instances. Marginalized communities therefore bear the burden of climate and environmental health impacts."
Health,WarmSeason,0.575,"The effect of Human Health on Warm Season: People who are healthy have a greater ability to lower their emissions.       The effect of Warm Season on Human Health: The changing warm season climate exacerbates ground-level ozone, which increases cardiovascular problems for people. Flooding events are more likely, which can harm human health and livelihoods. An increase in allergens, diseases, and pests due to a changing climate can lead to problems for human health. Growing season changes have the potential to disrupt food systems, jeopardizing human nutrition."
Health,WaterQuality,0.525,"The effect of Human Health on Water Quality: People in poor health may have less ability to lessen their impact on water quality and may use products that harm water quality.       The effect of Water Quality on Human Health: Water quality has an immense impact on human health; drinking water is essential to life. Damaged water quality from a myriad of causes can be deadly, or lead to chronic health problems."
Invasives,LandUse,0.675,The effect of Invasive Species on Land Use: The threat of invasive species can be a part of land use planning or not - resulting in invasives being neutralized or simply ignored by various types of land uses.       The effect of Land Use on Invasive Species: Poorly managed land uses allow for invasive species to take hold as native habitat is opened up or encroached upon by humans.
Invasives,Nutrients,0.525,The effect of Invasive Species on Nutrient Management: Invasive plants have the ability to uptake nutrients that are in the soil. Invasives that cause the death of native plants lead to the release of nutrients back into the soil/watershed following massive die-offs.       The effect of Nutrient Management on Invasive Species: Nutrients can be used to by invasive plants to fuel their growth. Certain invasive species are adaptable to changing conditions posed by nutrient influxes.
