name,actor_list,desc,type,link,last_updated,coordination_delegate,logo
Denison University,DEN_U,"A major role of Denison University, located in Granville, is educating and informing on issues of sustainability, on multiple levels, including with direct stakeholders and students.",University,https://denison.edu/,"Sep 13th, 2022",TBD,https://denison.edu/sites/default/files/file_attachments/logo.png
Dublin City Government,DUBLIN,"The City Government of Dublin works on projects related to the provision of sustainable resources within their community. Dublin is a city of nearly 50,000 residents located just northwest of Columbus, Ohio. It offers residents and corporate citizens responsive services, attractive housing options, superior public education, direct regional highway access, abundant park space, thoughtful and strategic planning, innovative ideas and technology and a dynamic community life. Dublin is ranked the number one small city in Ohio and is consistently named one of the safest cities in the nation. It is home to more than 20 corporate headquarters, an entrepreneurial center, 4,300+ businesses, world-class events and the urban, walkable Bridge Street District. (Contact: egoliver@dublin.oh.us). ",City Government,https://dublinohiousa.gov/,"Sep 13th, 2022",TBD,https://dublinohiousa.gov/alpha/wp-content/uploads/2020/12/cod-1.png
Environmental Education Council of Ohio,EECO,"At EECO (Environmental Education Council of Ohio), the mission is to be a leader in the promotion and facilitation of Environmental Education (EE), and to nurture knowledge, attitudes and behaviors. (Contact: Brenda Metcalf, director@eeco-online.org).",Non-profit,https://eeco.wildapricot.org/,"Sep 13th, 2022",TBD,https://eeco.wildapricot.org/resources/Pictures/EECO%20logo.jpg
Environmental Law and Policy Center,ELPC,"With their office in Columbus, ELPC (Environmental Law and Policy Center) is well-positioned to advance a transition towards a cleaner renewable energy future and smart energy efficiency. They advocate with regulators, legislators, and business leaders across the Buckeye state. (Contact: Tyler Barron tbarron@elpc.org).",Non-profit,https://elpc.org/,"Sep 13th, 2022",TBD,https://elpc.org/wp-content/uploads/2020/08/ELPC-Logo-Primary-RGB.png
Franklin County Public Health,FCPH,"Franklin County Public Health is a local health department serving 41 jurisdictions in Franklin County, Ohio. Our mission is to improve the health of our communities by preventing disease, promoting healthy living, and protecting against public health threats through education, policies, programs, and partnerships. (Contact: Jennie McAdams, JennieMcAdams@franklincountyohio.gov). ",County Government,https://myfcph.org/,"Sep 13th, 2022",TBD,https://myfcph.org/wp-content/uploads/2017/10/fcph-logo-2x-200x92.png
Franklin Park Conservatory and Botanical Gardens,FPCBG,"Inspired by horticulture, Franklin Park Conservatory and Botanical Gardens elevates quality of life and connects the community through educational, cultural and social experiences. We are a public garden and and so plants are first and foremost for us because that's what we do: we try to educate about all things related to plants. (Contact: Jenny Pope, Director of Community Outreach and Education, jpope@fpconservatory.org).",Other,https://www.fpconservatory.org/about-us/,"Sep 13th, 2022",TBD,https://media-api.xogrp.com/images/2a0c23ed-bea2-47f9-9924-d05c122f98e3
Franklin Soil and Water Conservation District,FRANK_SWCD,"Franklin Soil and Water Conservation District's mission is to promote responsible land use decisions for the conservation, protection and improvement of soil and water resources by providing information assistance through effective partnering, technical guidance and education. (Contact: Jennifer Fish, jfish@franklinswcd.org).",Special District,https://www.franklinswcd.org/,"Sep 13th, 2022",TBD,https://www.franklinswcd.org/images/logo-franklin-soil-water-conservation-district.jpg
Franklinton Farms,FRANK_F,"Franklinton Farms, or “The Farms”, is a non-profit organization located in Columbus, Ohio. The Farms was founded in 2007 by a group of neighborhood residents committed to environmental sustainability and social justice. ",Non-profit,https://franklintonfarms.org/,"Sep 13th, 2022",TBD,https://images.squarespace-cdn.com/content/v1/59526f6de110ebd316ddb499/2cfc1117-f935-45d0-a223-7f4b1a76c6d9/Screen+Shot+2017-07-21+at+11.35.18+AM.jpg?format=1500w
Friends of Alum Creek and Tributaries,FACT,"The goal of Friends of Alum Creek and Tributaries is to preserve, protect, and educate people regarding the watershed within central Ohio in the lower Alum Creek watershed.",Non-profit,https://friendsofalumcreek.org/,"Sep 13th, 2022",TBD,https://friendsofalumcreek.org/wp-content/uploads/2020/09/logo.png
Friends of Columbus Metroparks,F_COLMET,"Friends of the Columbus Metroparks is the nonprofit partner to CFCMP, who advocates for the metroparks, aims to enhance the metroparks experience, educate people about the metroparks, all to ensure that the metroparks cotinue to thrive. (Contact: Melissa Meyer, mameyer@metroparks.net).",Non-profit,https://www.metroparks.net/about-us/friends-metro-parks/,"Sep 13th, 2022",TBD,https://www.metroparks.net/wp-content/uploads/2015/08/Friends-logo-2015-150px.jpg
Friends of Lower Olentangy Watershed,FLOW,"The Friends of the Lower Olentangy Watershed's mission is to keep the Olentangy River and its tributaries clean and safe for all to enjoy, through public education, volunteer activities, and coordination with local decision-makers.  FLOW is currently implementing our Greenspace Improvement Plan by targeting action at our potential high quality tier parcels using multiple best management practices like invasive species removal, reforesting floodplains and tributary corridors, and planting, seeding or weeding pollinator gardens along our Pollinator Pathway.  Our Greenspace project will benefit the entire 157 square mile Lower Olentangy watershed as a demonstration of what can be done to improve the quality for both humans and wildlife for other watersheds. (Contact: Laura Fay, lfay2311@gmail.com).",Non-profit,https://www.olentangywatershed.org/,"Sep 13th, 2022",TBD,https://www.olentangywatershed.org/wp-content/uploads/2022/03/flow-logo-vertical.png
Gahanna Parks and Recreation,GAHAN_PR,"The Parks and Recreation Department for the City of Gahanna. They prioritize preserving recreation opportunities for their constituents, including public lands, waterways, and national fields.",City Government,https://www.gahanna.gov/parks-recreation/,"Sep 13th, 2022",TBD,https://www.gahanna.gov/wp-content/uploads/2020/07/gahanna-header-logo.png
Grange Insurance Audubon Center,GIAC,"Grange Insurance Audubon Center is a hub of resources for the general public on environmental topics, and is an example of ecological restoration within Columbus. (Contact: David Helm, david.helm@audubon.org).",Special District,https://grange.audubon.org/,"Sep 13th, 2022",TBD,https://grange.audubon.org/sites/all/modules/custom/asc_footer/images/footer-logo.png
Green Bexley,G_BEXLEY,"Green Bexley is an official committee of the City of Bexley that works to assist the city accomplishing its zero waste objective before or by 2040. It does so by educating, engaging, advocating, advising, and liaising, as well as by working with the city on environmental sustainability and other ways.",Non-profit,https://www.greenbexley.org/home,"Sep 13th, 2022",TBD,https://bexley.org/wp-content/uploads/2021/03/2019-02-Green-Bexley-Web-Logo_Full-Color-768x113.png
Green Columbus,GCBUS,"Through forums and platforms, Green Columbus aims to provide opportunities around sustainability for as many groups and people as possible.",Non-profit,https://www.greencbus.org/,"Sep 13th, 2022",TBD,https://images.squarespace-cdn.com/content/v1/633d915a84c81a7b487b80b7/e836ea60-6d15-4ff7-947b-ff8c003cfb3b/White+Logo.png?format=1500w
Green Gahanna,G_GAHAN,"Green Gahanna provides a place for networking of friendly Gahanna outdoor enthusiasts, interested in sustainability, gardening, earth care, natural science, and related topics. Green Gahanna is a Facebook group of citizens who share environmental awareness & advocacy opportunities. (Contact: Catherine Hope-Cunningham, chopecunningham@gmail.com). ",Non-profit,https://www.facebook.com/greengahanna/,"Sep 13th, 2022",TBD,
Grove City Public Service,GCITY_PS,"Grove City Public Service provides the critical infrastructure services that the city depends on, including the roadways, pavements, traffic signals and streetlights, water storm sewers, and sanitary sewers. They are responsbile for everything that is green and growing in the city, as well as public facilities and  public fleet vehicles that provide service to the community.",City Government,https://www.grovecityohio.gov/public-service/,"Sep 13th, 2022",TBD,https://www.grovecityohio.gov/wp-content/uploads/2016/04/logo_seal_mayor.jpg
Impact Community Action,ICA,"The role of Impact Community Action is to help people in crisis and find a way to self sufficiency, including through their  weatherization department. They help homeowners save money in their utility bills through weatherization, because it's better for the environment, for their health, and  for people economically.",Non-profit,https://www.impactca.org/,"Sep 13th, 2022",TBD,https://images.squarespace-cdn.com/content/v1/606e1295806bd46f17e180b0/8cb9db20-ecf7-4dc7-910e-675fb9c05016/Impact_Short_Tag_CMYK.png?format=1500w
Local Matters,LOC_MAT,"Local Matters leads the effort to ensure that everyone in Central Ohio has the knowledge and skill to make healthful, economic food choices. They work with partners to reinforce infrastructure that connects people to food, no matter their zip code or circumstance. They also advocate for and with our community members who prioritize justice and equality throughout our food system. (Contact: Jessica Williams, jwilliams@local-matters.org).",Non-profit,https://www.local-matters.org/,"Sep 13th, 2022",TBD,https://images.squarespace-cdn.com/content/v1/5639629de4b05b184b572406/1523556786487-8SV92OP8KJG4IEEU8PD8/Logo-No-Tagline-sm.jpg?format=1500w
MAD Scientists Associates LLC,MADS,"MAD provides high-quality wetland and ecological consulting services to clients in the public and private sectors. Our clients include engineering firms, universities, park districts, industries, and municipal governments. Clients have come to rely on MAD for threatened and endangered species/critical habitat surveys, full wetland services (delineation, permitting, mitigation & monitoring), stream characterizations and aquatic studies, botanical surveys, ecological risk assessments, and other specialized ecological services. (Contact: Mark A. Dilley, Chief Scientist, mark@madscientistassociates.net). ",Other,https://madscientistassociates.net/,"Sep 13th, 2022",TBD,https://madscientistassociates.net/wp-content/uploads/2022/02/logo120.png
Mid-Ohio Regional Planning Commision,MORPC,"MORPC is Central Ohio’s regional council for more than 75 members comprised of counties, cities, villages, townships, and regional organizations. We take pride in bringing communities of all sizes and interests together to collaborate on best practices and plan for the future of our growing region. We do this through a variety of programs, services, projects and initiatives – all with the goal of improving the lives of our residents and making Central Ohio stand out on the world stage.",Other,https://www.morpc.org/,"Sep 13th, 2022",TBD,https://www.morpc.org/wordpress/wp-content/uploads/2019/02/MORPC-LOGO_PRIMARY-COLOR_WHITE_V2-01-e1549312059876.png
Mom's Clean Air Force - Ohio,MCAF_OH,The role of Mom's Clean Air Force Ohio is to mobilize parents and grandparents around  clean air and climate change impacts through advocacy work and coalition-building.,Non-profit,"https://www.momscleanairforce.org/state-chapters/ohio/#:~:text=Moms%20Clean%20Air%20Force%20works,end%20environmental%20injustices%20in%20Ohio.","Sep 13th, 2022",TBD,https://www.momscleanairforce.org/wp-content/uploads/MCAF-official-logo.png
National Wild Turkey Federation - Ohio,NWTF_OH,"NWTF (National Wild Turkey Federation) Ohio and its partners put resources toward improving the most critical habitat for wildlife and to open access to land for hunting. They are committed to improving water quality, forest health, and restoring grasslands.",Non-profit,http://www.ohionwtf.org/,"Sep 13th, 2022",TBD,http://www.ohionwtf.org/themes/blackcandy/images/OhNwtfLogoTrans2.gif
Ohio Bird Conservation Initiative,OBCI,"OBCI is a network of organizations within Ohio and regionally working together to advance bird conservation. OBCI's mission is to ensure the conservation and effective management of birds in Ohio by fostering partnerships among governmental agencies, conservation organizations, businesses, and the public. (Contact: Matthew Shumar, obcicoordinator@gmail.com). ",Non-profit,https://obcinet.org/,"Sep 13th, 2022",TBD,https://obcinet.org/obcimain/wp-content/uploads/2021/12/OBCI-white_500px_shadow.png
Ohio Citizen Action,OCA,"Ohio Citizen Action organizes and mobilizes people to advocate for public interests. In person, by phone, and online, we engage people in actions that protect public health, improve environmental quality, and benefit consumers. Our campaigns connect Ohioans and build a movement to protect democracy and create a sustainable future.",Non-profit,https://www.ohiocitizen.org/,"Sep 13th, 2022",TBD,https://assets.nationbuilder.com/ohiocitizenaction/sites/1003/meta_images/original/OCA_LOGO_medium_blue.png?1553796656
Ohio Department of Transportation - Office of Environmental Services,ODT_OES,"The Ohio Department of Transportation - Office of Environmental Services is responsible for providing education, training, technical expertise, and procedure development for ODOT to achieve a safe, efficient and environmentally compliant transportation system.​​​  OES achieves its goals through the dedicated work of staff who monitor and implement environmental laws, rules and regulations through ODOT's environmental, design, construction and maintenance programs.",State Government,https://www.transportation.ohio.gov/programs/environmental-services#page=1,"Sep 13th, 2022",TBD,https://www.transportation.ohio.gov/wps/wcm/connect/gov/d8adca5c-fe5b-4294-9622-a247db6de55d/ODOT_logo.png?MOD=AJPERES
Ohio Ecological Food and Farm Association,OEFFA,"Founded in 1979, the Ohio Ecological Food and Farm Association (OEFFA) cultivates a future in which sustainable and organic farmers thrive, local food nourishes our communities, and agricultural practices protect and enhance our environment. Specifically, OEFFA's Policy Program advocates for state and federal policies that protect and benefit sustainable agriculture, research and education, and the public's right to know. Working with our members, we give voice to concerned citizens and ecological family farmers who are safeguarding the environment and providing us with healthy and nutritious food choices. (Contact: Lauren Hirtle, lauren@oeffa.org).",Non-profit,https://www.oeffa.org/,"Sep 13th, 2022",TBD,https://www.oeffa.org/graphics/investinag.png
Ohio Energy Project,OEPROJ,"Ohio Energy Project (OEP) is a 501c(3) nonprofit organization serving students, teachers, and communities in all things energy education. Through STEM-based, standards-designed programs, OEP empowers the next generation to take charge of their future and lead their peers, families, and communities in energy literacy, environmental sustainability, and conservation. (Contact: Jessica Sarber, jsarber@ohioenergy.org).",Non-profit,https://ohioenergy.org/,"Sep 13th, 2022",TBD,https://ohioenergy.org/wp-content/uploads/2020/09/site-logo-white.png
Ohio Environmental Council,OEC,"The OEC works for pragmatic solutions to keep Ohio clean and beautiful, and our communities safe. We fight for clean air and water, clean energy, and protected public lands. We hold polluters accountable in court while working with communities and companies that want to invest in a clean, more sustainable direction. For more than 50 years, we have led many of the major environmental policy wins in Ohio. (Contact, Chris Tavenor, Staff Attorney, ctavenor@theoec.org)",Non-profit,https://theoec.org/about/,"Sep 13th, 2022",TBD,https://theoec.org/wp-content/uploads/2017/06/toplogo_notagline.png
Ohio Environmental Health Association,OEHA,"The role of OEHA (Ohio Environmental Health Association) is to support registered environmental health specialists to do their job more effectively and more efficiently, resulting in better Community health Community environmental health.",Non-profit,http://www.ohioeha.org/aws/OEHA/pt/sp/home_page,"Sep 13th, 2022",TBD,http://www.ohioeha.org/aws/OEHA/am/gi/OEHA_logo.png?ver=3
Ohio Environmental Protection Agency - Division of Air Pollution Control,OEPA_DAPC,"The Division of Air Pollution Control in the Ohio EPA is a regulatory organization. The Ohio Environmental Protection Agency is a trusted leader and environmental steward using innovation, quality service and public involvement to ensure a safe and healthy environment for all Ohioans. (Contact: stephanie.habinak@epa.ohio.gov). ",State Government,https://epa.ohio.gov/divisions-and-offices/air-pollution-control/air-pollution-control,"Sep 13th, 2022",TBD,https://epa.ohio.gov/wps/wcm/connect/gov/cc4e302f-a644-4910-abe2-81a2f7dc4570/ohio-epa-logo.png?MOD=AJPERES
Ohio Environmental Protection Agency - Division of Drinking and Ground Waters,OEPA_DDGW,"A State Agency government subdivision, which regulates drinking water that's for public use.",State Government,https://epa.ohio.gov/divisions-and-offices/drinking-and-ground-waters,"Sep 13th, 2022",TBD,https://epa.ohio.gov/wps/wcm/connect/gov/cc4e302f-a644-4910-abe2-81a2f7dc4570/ohio-epa-logo.png?MOD=AJPERES
Ohio Farm Bureau Federation,OFBF,"Ohio Farm Bureau is a grassroots membership organization that is committed to supporting our farm and food community. Ohio Farm Bureau is a 501(c)(5) independent, non-governmental, private, volunteer-member powered organization. For more than 100 years, we have represented food, fiber, and fuel producers at a local level and on a national scale. Our members are our top priority, and we are tuned into the top agricultural issues affecting their lives.  Mission of the Ohio Farm Bureau - Working together for Ohio farmers to advance agriculture and strengthen our communities.",Non-profit,https://ofbf.org/,"Sep 13th, 2022",TBD,https://ofbf.org/app/themes/ofbf/dist/images/ofbf-logo.svg
