Issue A,Issue B,value,Description
Habitat Loss , Invasive Species,1,"Degraded habitat can often times promote invasive species to spread, especially invasive plants. Lost habitat, including open tree canopies, generally promote invasive plant growth in the understory."
Habitat Loss , Land Use,0.375,"Habitat for endangered or listed species will prevent certain types of land uses if they are thought to negatively impact the species. The loss of habitat on a parcel of land may impact the value of the land in one direction or the other, which alters land use possibilities."
Habitat Loss , Nutrients,0.55,"As habitat is lost to development and impervious surfaces, a watershed can be said to be ""lost"" as it becomes more flasky. This flashiness as a result of lost habitat leads to faster and more stormwater runoff, which means that more nutrients are carried into streams."
Habitat Loss , Pests and Path,0.35,A smaller genetic pool of various plant species due to habitat loss and infrigement generally means that the remaining organisms are more susceptible to pest and pathogen outbreaks. 
Habitat Loss , Recreation,1,The loss of habitat directly limits the potential recreation opportunities that people have in green space areas. 
Habitat Loss , Restoration,0.75,"The loss of habitat or degradation of habitats can be a major driver for restoring a natural system. The degree to which a habitat has been ""lost"" can affect its ability to be restored."
Habitat Loss , Rising Temps,0.175,"As habitats are lost, there is less absorption of CO2 (loss of a carbon sink) and less beneficial microclimate cooling effects from shading. "
Habitat Loss , Soil Erosion,0.9,"The loss of habitat leads directly to soil erosion as there is less forest cover or vegetation that prevents erosion. Certainly, the infringement upon habitat (the human activities themselves) can be known to cause erosion, including for example the tillage of prairies."
Habitat Loss , Storm Water,0.8,"Lost habitat leads to flashier stormwater events, as there is less habitat cover to mitigate and absorb stormwater."
Habitat Loss , Transportation,0.35,"Transportation infrastructure, in some cases, might not be built in certain areas where there are efforts to curb habitat loss. "
Habitat Loss , Tree Mgmt,0.55,"When habitat is lost, there may be more of an effort to plant trees in urban areas to compensate. It is especially important to add urban forestry infrastructure to parcels of land where habitat has been lost. "
Habitat Loss , Vulnerable Com,0.65,Vulnerable populations are disproportionately impacted by lost habitat in that they are especially threatened by the loss of provisioning ecosystem services that are destroyed when habitat is lost. The degree to which this occurs depends on how much a vulnerable population relies upon natural systems for their livelihoods or sustenance.
Habitat Loss , Warm Season,0.225,"The conversion of habitat to infrastructure generally means that there is a smaller carbon sink and a larger carbon source, which contributes to the changing warm season."
Habitat Loss , Water Quality,0.85,"A reduction in habitat equates to less vegetation that is useful to slow down water and pollutants that would enter waterways. Water quality also includes the physical quality of the water (e.g. temperature). The loss of habitat adjacent to streams means there is less shading from trees, leading to warmer waterways."
Human Health , Air Quality,0.15,"Responses to human health impacts have resulted in federal legislation to improve air quality. Also, healtheier individuals may choose to bike or walk more, leading to less emissions from vehicles."
Human Health , Forests,0,Healthy people are more likely to access forests.
Human Health , Green Infra,0.025,People who are healthy and have their needs met (i.e. Maslow's hierarchy of needs) are more likely to be able to think about improving their home environment by installing GI.
Human Health , Habitat Loss,0.1,"There is an increasing recognition that access to nature improves human health. Therefore, human health initiatives have the ability to promote healthy habitat."
Human Health , Invasive Species,0,"To a small degree, individuals in poor health are probably less likely to go out and remove invasives."
Human Health , Land Use,0.3,"Ailments to human health collectively changes the lifestyles of individuals, which may have indirect impacts on land use decision-making."
Human Health , Nutrients,0,"To promote human health, people may choose to eat foods that have higher or lower nutrient footprints."
Human Health , Pests and Path,0.1,"Pest and pathogen management is something that is emphasized when it affects human health. Therefore, poor human health leads to pest and pathogen management and control."
Human Health , Recreation,0.725,"Depending on how healthy people are, there may be some differences in perception, usage, and design of green spaces."
Human Health , Restoration,0.15,"To a degree, people in poor health are less likely to worry about restoring natural systems."
Human Health , Rising Temps,0.05,"To a small degree, individuals in poor or good health may have different carbon footprints, affecting rising temperatures."
Human Health , Soil Erosion,0.05,Degrading human health may spur improper soil management strategies that cause erosion.
Human Health , Storm Water,0,Human health issues stemming from water quality may be a reason to alleviate stormwater issues.
Human Health , Transportation,0.45,"Healthy and unhealthy individuals utilize transportation in different ways in terms of access, frequency, and type of transportation method."
Human Health , Tree Mgmt,0.05,"To an extent, citizens concerned about their health may be proponents of urban forests."
Human Health , Vulnerable Com,0.5,People who are healthy are better able to understand their own vulnerabilities and are primed to improve the situation for vulnerable populations.
Human Health , Warm Season,0.15,People who are healthy have a greater ability to lower their emissions.
Human Health , Water Quality,0.05,People in poor health may have less ability to lessen their impact on water quality and may use products that harm water quality.
Invasive Species , Air Quality,0.05,"Should invasive species wipe out native populations of plant species, there could be less air pollution filtration."
Invasive Species , Forests,1,Invasive species majorly impact forest health and composition by overwhelming and outcompeting native species and reducing habitat quality for other species. Invasives have an easier time taking hold in forests that are already unhealthy.
Invasive Species , Green Infra,0.4,"Invasive plant species can make their way into GI projects, although GI is maintained regularly to minimize the risk of invasives."
Invasive Species , Habitat Loss,1,"Invasive species, especially invasive plants and pests, directly contribute to the loss of biodiversity and habitat, including a decline in habitat quality. The fruit that comes from invasive plants, for example, offers lower nutritional value for organisms than would native flowering plants."
Invasive Species , Human Health,0.45,"Indirectly, as invasive species degrade and destroy habitat, so too are the provisioning services once provided by the habitat."
Invasive Species , Land Use,0.5,The threat of invasive species can be a part of land use planning or not - resulting in invasives being neutralized or simply ignored by various types of land uses.
Invasive Species , Nutrients,0.55,Invasive plants have the ability to uptake nutrients that are in the soil. Invasives that cause the death of native plants lead to the release of nutrients back into the soil/watershed following massive die-offs.
Invasive Species , Pests and Path,0.925,"As the host species changes (i.e. as invasive plants alter community composition in an ecosystem), the composition of pests and pathogens also changes. Pests are oftentimes invasive themselves."
Invasive Species , Recreation,1,"Invasives have the ability to turn green spaces into monocultures. Invasives, therefore, are important to be managed in recreational areas. Invasives impact nature experiences and can affect the quality of recreational opportunities, including fishing and wildflower recreating."
Invasive Species , Restoration,0.95,"Invasive species are often times a driver for restoration initiatives when people ask the question: ""How do I keep the invasives out?"""
Invasive Species , Rising Temps,0,"Invasive species in general have little effect on rising temperatures. If invasive pests, like the Emerald Ash Borer, manage to devastate entire stands of trees, it can cause a carbon sink to turn into a carbon source."
Invasive Species , Soil Erosion,0.5,"Depending on the type of invasive species, certain invasive plants can reduce erosion via their roots, while other invasive plants have a worse grip on the soil than do the native plant species. Furthermore, invasive pests that kill native plants lead to erosion from a loss of vegetative cover."
Invasive Species , Storm Water,0.75,"While some invasive vegetation has filtration and absorption capabilities, the majority of invasive plants are less adept at stormwater mitigation than are native plant species. "
Invasive Species , Transportation,0.325,"The threat of invasives does alter transportation systems in certain ways. A primary effect is that boats, cars, and trains, may need to be inspected for invasive seeds or larvae before taking off. "
Invasive Species , Tree Mgmt,0.9,Invasive plants and pests have the potential to outcompete and degrade trees planted in urban forests.
Invasive Species , Vulnerable Com,0.25,"Although invasive species generally degrade habitat quality, they can sometimes provide nature access for vulnerable populations."
Invasive Species , Warm Season,0.2,Tree and vegetation loss from invasive pressures leads to the loss of a carbon sink.
Invasive Species , Water Quality,0.5,"By and large, invasive plants, fish, and pests have myriad effects on water quality. Invasive zebra mussels improve watr quality. Certain invasive plants are better or worse at stormwater filtration, which impacts water quality. "
Land Use , Air Quality,0.6,"Development, especially industrial development, has well-documented adverse effects on air quality from the release of pollutants. Furthermore, suburban sprawl and highways factor into poor air quality."
Land Use , Forests,0.95,Land uses develop into forests and destroy them and can cause fragmentation of forests. Land uses alter forest hydrology and nutrient flow into the forest. Fragmentation is one of the biggest threats to forest health.
Land Use , Green Infra,0.5,"Impervious surfaces resulting from land use development is often times what makes installing GI especially important to control stormwater. The density or type of land use may create opportunity for, or restrict, GI projects."
Land Use , Habitat Loss,0.925,Land use directly contributes to habitat loss as development infringes upon undeveloped habitat areas. 
Land Use , Human Health,0.8,"Anything done to the land and put into a landspace will invariable affect the livelihoods of the people who live there, including the air they breathe and the water they drink. "
Land Use , Invasive Species,0.85,Poorly managed land uses allow for invasive species to take hold as native habitat is opened up or encroached upon by humans.
Land Use , Nutrients,0.7,Agricultural land uses have major impacts on nutrients by inputting them into watersheds. Nutrient management plans are a part of land use planning.
Land Use , Pests and Path,0.6,"The more a landscape is developed and degraded, the less resilient it is to pest/pathogen invasions, largely because land use lowers plant diversity."
Land Use , Recreation,0.8,"Depending on the land use type, it can prompt integrated or disintegrated green space areas by creating opportunities for recreational spaces. "
Land Use , Restoration,0.65,Land use legacies impact restoration possibilities by changing the landscape and valuation of the land. These changes to the landscape can either make restoration more difficult or even more of a necessitiy.
Land Use , Rising Temps,0.5,"A substantial amount of carbon emissions come from land use change. Increased impervious surface cover and less vegetation leads to more heat reflection and less shading. Overall, these impacts lead to the global phenomenon of rising temperatures and lead to warmer microclimates, including the urban heat island effect."
Land Use , Soil Erosion,0.9,Anytime soil is disturbed or moved from land use it is opened up to being eroded. All land uses lead to erosion of some sort.
Land Use , Storm Water,0.95,"Land use directly changes landscapes and the hydrology of a watershed. Invariable, these changes to the landscape will impact the way in which stormwater travels over the land. Stormwater will become flashier and faster."
Land Use , Transportation,0.9,Land uses necessitate transportation for access. Existing land uses dictate where and how transportation infrastructure is planned and implemented. 
Land Use , Tree Mgmt,0.8,Urban developers include arborists in the planning process in order to establish an ubran tree canopy.
Land Use , Vulnerable Com,0.8,"Gentrification as a modern-day land use technique directly impacts the health and food security of the most vulnerable populations, who are disproportionately minorities that live in congested areas that lack access to certain commodities."
Land Use , Warm Season,0.45,"Urban land uses have negative microclimate effects mostly, but do contribute to the changing climate globally due to concentrated emissions."
Land Use , Water Quality,0.95,"Land use has a major impact on water qualtiy, whether it is from agriculture, industry, urban, or residential development. In all types of land uses, pollutants and eroded soil is likely to enter and pollute waterways."
Nutrients , Air Quality,0.1,"Organic nutrients and the transformation of nitrogen compounds into nitrous oxides can be a way in which nutrient applications impact air quality, although this occurs to a lesser extent."
Nutrients , Forests,0.1,"Nutrients are not usually applied to forest ecosystems, although it is certainly true that nutrients must be available to forest plants for growth. "
Nutrients , Green Infra,0.55,"Nutrients indeed have the ability to impact GI projects, mostly in a positive way. Nutrients help GI projects to grow and flourish, but in excess they can dampen the effectiveness of the GI."
Nutrients , Habitat Loss,0.5,"Because nutrients are an essential part of the growth dynamics of streams or forests, they have much to do with habitat health. Nutrients are especially harmful for aquatic habitat due to toxicity (e.g. HABs). "
Nutrients , Human Health,0.8,Nutrients in foods are important for human nutrition and health. Nutrients in excess in waterways can harm drinking water quality. 
Nutrients , Invasive Species,0.5,Nutrients can be used to by invasive plants to fuel their growth. Certain invasive species are adaptable to changing conditions posed by nutrient influxes.
Nutrients , Land Use,0.5,"Nutrient availability has a major impact on agricultural possibilities, but has less impact on urban land uses."
Nutrients , Pests and Path,0.425,"Because nutrient cycling is critical for plant health, and plant health is critical in plant ability to defend against pests and pathogens, nutrient levels have an indirect impact on pest and pathogen invasions."
Nutrients , Recreation,0.775,"Nutrients (fertilizers) can be applied to green spaces to promote healthy vegetation. In excess, nutrients can worsen water quality in recreational areas, which worsens the green space."
Nutrients , Restoration,0.6,"Nutrient issues may be a reason to deploy restoration projects, including wetland and prairies. Furthermore, nutrients that enter restoration sites drive the rate of succession in the restored site and can therefore enhance or worsen the resilience of the site."
Nutrients , Rising Temps,0.1,"Indirectly, nutrients encourage plant growth and plant growth helps to sequester carbon."
Nutrients , Soil Erosion,0.75,Adequate nutrients are required for plant growth which is what stabilizes soil erosion. 
Nutrients , Storm Water,0.55,"Regions with nutrient issues might require altered stormwater management plans. Nutrients themselves though have only a minor impact on stormwater, in that nutrients encourage plant growth which slows surface runoff."
Nutrients , Transportation,0.15,"In extreme cases, nutrients can hamper aquatic transportation in cases of HABs."
Nutrients , Tree Mgmt,0.4,Trees normally do not require fertilization unless they live in poor soils.  
Nutrients , Vulnerable Com,0.75,"Vulnerable populations who have degraded infrastructure and poor wastewater treatment centers are highly susceptible to nutrient-related water quality problems. Additionally, nutrient-rich foods are less available to vulnerable populations, who rely more heavily on processed foods."
Nutrients , Warm Season,0.2,"Because nutrients encourage plant growth, they are useful in the sequestration of carbon to an extent."
Nutrients , Water Quality,1,"Nutrients have an outstanding impact on water quality as they directly play into aquatic ecological conditions, cause harmful algal blooms, and eutrophy water bodies."
Pests and Path , Air Quality,0.2,Pests and pathogens that wipe out tree canopies have the potential to *indirectly* negatively influence air quality through a loss of filtration/sequestration.
Pests and Path , Forests,1,"Invasive pests and pathogens majorly impact forests in that they can cause massive dieoffs and tree mortality, creating unhealthy forests."
Pests and Path , Green Infra,0.15,"Pests and pathogens alter plant selection for GI projects, where susceptible plants are avoided."
Pests and Path , Habitat Loss,0.85,"Invasive pests and pathogens cause habitat loss as forest health is degraded and trees are killed. The loss of a tree canopy worsens the habitat quality for native species like insects, amphibians, and other plants."
Pests and Path , Human Health,0.9,"There are direct and indirect impacts that pests and pathogens have on human health. Of course, pathogens that are human-transmitted have major impacts on human health. Tics that carry Lyme Disease are increasingly threatining to human health. Tree loss and ecosystem degradation due to pests and pathogens threatens physical health (poorer air quality) and mental health (worsened access to nature)."
Pests and Path , Invasive Species,0.6,"Pests and pathogens can either be endemic to an area, or invasive. Those that are invasive are the ones that are dangerous to a system. Invasive pests and pathogens that change a microenvironment due to tree loss might open up space for invasive plants to come in. Some pathogens actually keep invasive organism populations in check."
Pests and Path , Land Use,0.4,Landscaping and agriculture are the two main types of land uses that are majorly impacted by pests and pathogens. Pest and pathogen management plans are often implemented; some agricultural sites may be abandoned due to pest pressure.
Pests and Path , Nutrients,0.33,"Pests and pathogens can impact nutrients in two main ways. First, insect pests that defoliate trees convert plant biomass into available nutrients, which can run out of an ecosystem. Second, pests that decimate tree populations allow for increased runoff speed and increased soil erosion, which facilitates nutrient runoff."
Pests and Path , Recreation,0.9,"Pests and pathogens pose major problems for green space managers, as they negatively impact green spaces by killing vegetation. If large components of a green space are compromised, then the green space is much less enjoyable for recreation."
Pests and Path , Restoration,0.6,"Often times, the presence of invasive pests and pathogens might be a driver to restore a system back to its natural function and remove the pressure. Pests and pathogens  pose a threat to the restoration process itself, though, by slowing down progress and introducing an additional layer of complexity to the project."
Pests and Path , Rising Temps,0.35,The reduction of greenery from pests and pathogens leads to a pulse of carbon being released into the atmosphere and the loss of a carbon sink. There is also the loss of microclimate shading benefits from the trees that are killed by pests and pathogens.
Pests and Path , Soil Erosion,0.325,"Indirectly, as pests and pathogens weaken or kill vegetation, erosion rates are enhanced as a lower canopy cover allows more rainfall to reach the ground and less plant roots to stabilize the soil."
Pests and Path , Storm Water,0.275,Tree loss from pest and pathogen pressure means poor stormwater control and absrobtion.
Pests and Path , Transportation,0.25,"Pests and pathogens will only impact the transportation system if measures are taken to limit the spread of the pest or pathogen. Examples of human measures include reducing travel overall (COVID-19), inspections of vehicles for invasive pests."
Pests and Path , Tree Mgmt,1,Pest and pathogen problems have dramatic effects on urban foretry especially because they are often less biodiverse (more susceptible to invasion) than are natural systems.
Pests and Path , Vulnerable Com,0.7,Vulnerable commumnities who are already stressed are disproportionately impacted by pest and pathogens. This is because they have fewer resources to fight against pest and pathogen pressures and poor access to health care in cases of disease transmission.
Pests and Path , Warm Season,0,Lost greenery due to pest and pathogen pressure has a small impact on the global phenomenon of the changing warm season climate.
Pests and Path , Water Quality,0.8,"Biological invasions impact the biological quality of the water. Tree loss due to pests and pathogens increases runoff issues, increasing the amount of pollutants that enter into waterways and damage chemical water quality. Tree mortality also alters water temperature from the loss of shading in riparian areas, which affects the physical quality of water."
Recreation , Air Quality,0.75,Green spae areas generally improve air quality due to the filtration abilities of the vegetation.
Recreation , Forests,1,"Green space areas can act as a habitat cooridor and provide remedies to forest fragmentation. Green spaces improve public awareness and education about forests, which can go a long way in forest protection."
Recreation , Green Infra,0.225,Green space use by people may impact Green infrastructure if It becomes misused or damaged.
Recreation , Habitat Loss,0.9,Green space areas provide habitat for many species. Access and visitation of green spaces can increase advocacy for habitat improvements. 
Recreation , Human Health,0.85,Green space access greatly improves physical and mental health for people who use it. It also can improve community building when people come together to green spaces. 
Recreation , Invasive Species,0.925,"Green space management typically involves invasive species removal. Conversely, the use of green space areas by visitors might facilitate the spread of invasive plants or insects by way of ""hitchhiking""."
Recreation , Land Use,0.725,"Land near green spaces may become more valuable and attractive. Green space areas have impacts on land use possibilities, as they are less likely to be converted to development."
Recreation , Nutrients,0.5,"Green space areas have the ability to filter nutrient runoff, but the degree to which this actually has a noticeable impact depends on whether the green space is located downhill of nutrient input sites. Green space managers can purchase abandoned agricultural fields to convert them into green spaces."
Recreation , Pests and Path,0.825,People in parks have been known to transport pests and pathogens with firewood or zebra mussels with boats. A major component of green space management is usually the fight against pests and pathogens.
Recreation , Restoration,0.9,Green space areas provide immense opportunities for restoration initiatives. People using and recreating in green spaces that have been restored might damage the restoration project.
Recreation , Rising Temps,0.1,Green space areas in urban or suburban environments break up reflectivity and reduce the urban heat island effect slightly. This effect is localized only. Green space areas also have a minimal impact global rising temperatures from carbon sequestration.
Recreation , Soil Erosion,0.775,Green space areas concentrated around water bodies are important to control erosion and prevent sediment from flowing into streams. 
Recreation , Storm Water,0.9,Green spaces act as stormwater solutions for some areas as they filter and absorb stormwater.
Recreation , Transportation,0.575,"Green space areas might alter transportation patterns in several ways. First, by providing alternative transportation options in the form of bike paths. Second, the preservation of parks may limit potential roadways. Third, the cooling effect of trees and the green space may alter where people prefer to drive."
Recreation , Tree Mgmt,1,Green space areas and urban forests are sometimes thought to be one in the same. More green space improves the tree canopy.
Recreation , Vulnerable Com,0.7,"In urban areas, green space access is very important for vulnerable populations who would benefit from physical and mental health improvement opportunities in the green space.  "
Recreation , Warm Season,0.3,"Green space areas can sequester carbon and mitigate the changing warm season - slightly. The action of recreating in green spaces might improve environmental and climate awareness. The action of recreating in green spaces often times requires driving to the green space, which leads to carbon emissions."
Recreation , Water Quality,0.9,"Green space areas that are properly planned and managed filter out pollutants before they can enter streams. The people who recreate in green space areas might cause or directly pollute streams, though. "
Restoration , Air Quality,0.225,"Restoration sites do not primarily focus on mitigating air quality issues. However, restored areas do have the potential to improve local air quality and pull out air pollutants."
Restoration , Forests,0.75,Restoration reduces one of the most pressing forest issues - fragmentation. Restoration can create or improve forests and forest biodiversity.
Restoration , Green Infra,0.65,Restoration and Green Infrastructure initiatives can be mutually beneficial if they are co-located. Restoration projects that include invasive species removals can help lower invasive species pressures on nearby GI.
Restoration , Habitat Loss,0.85,Restoration of natural systems directly reduces habitat loss by creating desirable habitat out of nothing.
Restoration , Human Health,0.825,"Because restoration improves ecosystem services (e.g. air and water quality), human health is improved with a healthier environment."
Restoration , Invasive Species,0.9,A major component of restoration projects is the removal of invasive species. A quality restored system is resilient to invasions 
