,actor_list,desc
45,OEHA,"The role of OEHA (Ohio Environmental Health Association) is to support registered environmental health specialists to do their job more effectively and more efficiently, resulting in better Community health Community environmental health."
46,OEPA_DAPC,The Division of Air Pollution Control in the Ohio EPA is a regulatory organization.
47,OEPA_DDGW,"A State Agency government subdivision, which regulates drinking water that's for public use."
48,OFBF,"Ohio Farm Bureau is a 501(c)(5) independent, non-governmental, private, volunteer-member powered organization. It represents food, fiber, and fuel producers at a local level and on a national scale. Ohio Farm Bureau is a grassroots membership organization that is committed to supporting our farm and food community. "
49,ONDR_DW,"The Division of Wildlife’s mission is to conserve and improve fish and wildlife resources and their habitats for sustainable use and appreciation by all. Land acquisition, harvest regulations, and licensing are fundamental tools in the management of Ohio's wildlife resources. The division manages or cooperates in managing over 750,000 acres of diverse wildlife lands throughout the state, plus more than 2 1/4 million acres of water. Division of Wildlife projects are carried out by a team of nearly 400 trained personnel. Funds from Ohio sportsmen and women provide 95 of every 100 dollars which pay for all these activities. The Division faces many challenges in the pursuit of its goal to ensure an abundance of high quality wildlife experiences for today's Ohioans and for future generations."
50,ONE,"Ohio Nature Education is a private non-profit volunteer organization which provides a home for over forty wild animals that can no longer live in the wild. We incorporate these animals into environmental education programs for people of all ages. Our customers include schools, Scout troops, libraries, garden clubs, senior centers, metro parks, and community centers. Our programs include live education animals and collections of study skins, nests, and other natural materials useful as aids in learning about nature."
51,OPHI,"OPHI (Ohio Pollinator Habitat Initiative) is a collaborative, grassroots effort that's  set for educating and providing opportunities for all Ohioans about pollinator habitat provision."
52,OPWC,"The Ohio Public Works Commission is a state agency that works with local communities, providing technical assistance on projects related to the administration of the Clean Ohio Conservation Green Space Program."
53,OSBC,OSBC facilitates educational and networking events on sustainability. We share our members’ sustainability story and practices. We keep the business community informed of important policies affecting the sustainability of Ohio’s economy.
54,OSG,"Ohio Sea Grant has worked to protect the environment of Lake Erie and the Great Lakes. With a strong combination of research, education and outreach efforts, as well as partnerships with academia, governmental agencies and the private sector, Ohio Sea Grant works with the Lake Erie community to solve the region’s most important environmental and economic issues. Stone Laboratory, Ohio Sea Grant’s education and outreach facility on Lake Erie, serves scientists from across the Great Lakes region, offering lab facilities, field work equipment, research vessels and housing for researchers studying Lake Erie.
"
55,OSLN,OSLN attempts to identify and work towards strategies that engage minds in a way to help kids see themselves as innovators and problem solvers and prepare to be part of the workforce of the future.
56,OSU_CFAES,"The College of Food, Agriculture, and Environmental Sciences at Ohio State University."
57,OSU_CMSC,"The Carbon Management and Sequestration Center is a research organization at Ohio State University. It is a knowledge program, so they create and distribute knowledge."
58,OSU_CURA,The role of CURA (Center for Urban and Regional Analysis) at The Ohio State University is supporting evidence based policy related to sustainable and resilient urban design.
59,OSU_EMS,"The Office of Energy Management and Sustainability (Green Buckeyes) is a part of the Office of Student Life at Ohio State University. This office helps students and staff to make responsible, sustainable choices to meet the needs of our community. We provide recommendations for building systems, waste removal and other functions to support energy conservation and sustainability, and to measure the success of these efforts."
60,OSU_FOD,"The Facilities Operations and Development Office supports The Ohio State University's academic facility needs through design and construction, environmental health and safety,  energy services and sustainability, operations, and utilities."
61,OSU_INFACT,"InFACT is a research program at Ohio State University that is forming and scaling teams to pioneer multi-faceted physical, ecological, cultural and social models of food systems that promote health while balancing technology, ecological capacities, economics, justice and equity. Through public-private partnerships, they are expanding capacity to implement new food systems amidst environmental change and constraints."
62,OSU_KE,"The mission of the Knowledge Exchange at Ohio State University is to bring together researchers, extension professionals, decision makers, communicators, and the public to share explore and engage with relevant data and CFAES research."
63,OSU_OARDC,"The mission of The Ohio Agricultural Research And Development Center is to enhance the well-being of the people of Ohio, the nation and world through research on foods, agriculture, family and the environment."
64,OSU_SCOO,"Accessing accurate climate information, education, and interpretation is critical for policy makers and all sectors of Ohio’s economy and will enhance the quality of life, health, food and water security, and economic prosperity of all Ohioans. The State Climate Office of Ohio (SCOO) is a new team based at The Ohio State University (OSU) that connects Ohioans with transformative climate information."
65,OSU_SENR,"The School of Environment and Natural Resources (SENR) at The Ohio State University is a distinct, interdisciplinary academic unit administratively housed within the College of Food, Agricultural, and Environmental Sciences (CFAES). The School of Environment and Natural Resources creates science-based knowledge and fosters environmental sustainability through teaching, research and outreach."
66,OSU_SI,The Sustainability Institute collaborates with academic and operations units across the university to advance sustainability and resilience scholarship and activities. We aim to establish Ohio State as a leader in sustainability research and applications; educate and empower students; accelerate campus sustainability and living lab opportunities; grow resources to support these efforts; and catalyze a culture of sustainability.
67,OSU_WMC,Wexner Medical Center is an anchor institution - a public organization that is permanent to Columbus and firmly invested in the success of the community. All of WMC's sustainability efforts align with their Strategic Plan and The Ohio State University’s resource stewardship goals. The progress toward sustainability initiatives at the medical center is extraordinary and this page only captures a small sample of the outstanding work and our successes.
68,OWC,"The Ohio Wildlife Center is a 5012c3 nonprofit organization with three decades of service in Columbus and Central Ohio that operates the state’s largest, donation supported wildlife hospital as well as a 22 acre education center and campus. Its role in the community is to carry out wildlife rescues and rehabilitation of injured, ill or orphaned animals to return them to natural habitats after recovery. It also carries out conservation education programming that reaches more than 30,000 Ohioans annually.     "
69,OWDA,The Ohio Water Development Authority is a funding entity for water related issues in Ohio.
70,OWEA,"The Ohio Water Environment Association's role is one of educating both our citizens, legislators and regulators, in the role the water environment has in their everyday lives."
71,PCFO,"Power A Clean Future Ohio is a nonpartisan coalition that works with local leaders to develop and implement proven climate solutions. They are committed to reducing carbon emissions throughout Ohio in big and small ways that make sense for each local community. Ohio’s economy, health and future depend on a new approach to clean energy and climate change.  "
72,PF_OH,"Pheasants Forever, including its quail conservation division, Quail Forever, is the nation's largest nonprofit organization dedicated to upland habitat conservation. PF has chapters throughout Ohio."
73,PPARKS,"Preservation Parks is committed to preserving Delaware County’s natural areas, which are home to thousands of native plant and animal species and are special places for people. Park District conservation efforts focus on land acquisition, prairie and wetland restoration, reforestation and invasive species management in an effort to improve wildlife habitat. Walking trails, picnic areas, reservable shelters, natural play areas, nature displays, wildlife blinds, and other features provide a variety of ways for visitors to enjoy the parks. Their educational efforts take us into classrooms in every school system —public and private — in Delaware County, with engaging programs that excite young people.
"
74,ROAR,ROAR (Regional Ohio Action for Resilience) is an organization that's a catalyst for ideas that some people have been thinking about related to coordinated climate change adaptation and resilience planning.
75,RUR_ACT,Rural Action is a community economic development organization for Appalachian communities in Ohio.
76,SCO,Sierra Club Ohio intends to be the leading environmental and environmental justice organization in Ohio; affecting the greatest number of people having the greatest positive effect on the greatest number of people who are residents of the state.
77,SEC,"Stratford Ecological Center is a resource for the children and their families in the Community to create greater empathy and connectedness to their food system and the natural world that supports our food system and those inner relationships, both on a biological physical scale, but also at a on a Community level."
78,SIM_L,Simply Living is a non-profit organization driven by the concept of change or transition to an ecological future.
79,SMG,SMG (Scott's Miracle Gro) is a major consumer goods company that is an environmental leader in central Ohio and beyond. SMG provides consumer products to many people who live in Centrl Ohio and engage in lawn and garden care.
80,SUS_COL,"Recognizing the role a healthy environment plays in contributing to Columbus continuing to be America’s Opportunity City, the City of Columbus established the Sustainable Columbus initiative. This initiative, under the leadership of Columbus Mayor Andrew J. Ginther, focuses on optimizing internal city operations and working with external stakeholders from throughout the community to enhance and promote environmentally friendly policies throughout our community."
81,SUS_DEL,"Sustainable Delaware is a local group that works for environmental and social sustainability  in Delware, Ohio."
82,SUS_GRAND,Sustainable Grandview is a community action organization focused on realizing a cleaner healthier more resilient Grandview Heights Ohio.
83,SUS_WORT,Sustainable Worthington's goal is to find a very local way of trying to make their community as sustainable as possible.
84,SWACO,"SWACO (Solid Waste Authority of Central Ohio) is a catalyst to help our community manage our resources in a more effective way. Ultimately, they do so by offering ways to reduce or diverting waste from the landfill."
85,TNC_OH,"From wetlands and rivers to forests and prairies, The Nature Conservancy is protecting Ohio's most biodiverse places throughout the state."
86,ULI,"ULI Columbus was established in 2008 as a district council of the Urban Land Institute, a 501(c)(3) nonprofit research and education organization with the mission of providing leadership in the responsible use of land and in sustaining thriving communities worldwide. They lead the Rapid 5 project."
87,USDA_MCH,"The goal of the USDA Midwest Climate Hubl is to provide information that will help producers cope with climate change through linkages of research, education and extension partnerships. Encompassing Michigan, Ohio, Wisconsin, Minnesota, Iowa, Missouri, Indiana and Illinois, this region represents one of the most intense areas of agricultural production in the world with a wide array of products. "
88,USDA_NRCS,"NRCS assists owners of Ohio's private land with conserving their soil, water, and other natural resources.  They deliver technical assistance based on sound science and suited to a customer's specific needs.  Cost share and financial incentives are available in some cases."
89,USGS_OH,The USGS is the sole science agency for the Department of the Interior. It is sought out by thousands of partners and customers for its natural science expertise and its vast earth and biological data holdings. 
90,WORTH_PR,"Worthington Parks and Recreation provides creative services related to parks and recreation for their community, such as excellent parks, programs, facilities, and events."
